1girl,女の子
orange eyeshadow,オレンジ色のアイシャドウ
tavern,さかば
smelling flower,臭いのある花
disco ball,ミラーボール
naked capelet,裸のカペレット
pilot helmet,パイロットヘルメット
boombox,ラジカセ
pickelhaube,ピッケルハウベ
in orbit,軌道で
elbow sleeve,エルボーサポーター
traffic baton,誘導棒
see-through bra,透视胸罩
car seat,车座
cream puff,シュークリーム
ferret ears,フェレットの耳
shark boy,シャークボーイ
head hug,頭の抱擁
bc freedom (emblem),BCフリーダム（エンブレム）
breast pillow,ちちまくら
toolbox,ツールボックス
wooden spoon,木製スプーン
figure skating,フィギュアスケート
bald eagle,ハクトウワシ
too many cats,猫が多すぎる
door handle,ドアハンドル
black straps,黒いストラップ
brick road,ブリックロード
gear fifth,ギア5
bed invitation,オストリグサ
reverse netorare,逆NTR
brown tank top,茶色のタンクトップ
multiple monitors,複数のモニター
ribbon between breasts,胸の間のリボン
grey lips,灰嘴唇
multiple unit train,気動車
side-tie skirt,サイドタイのスカート
submarine,潜水艦
saturn (planet),土星
snapchat,snapchat
pleated shirt,プリーツシャツ
birthday sash,本日の主役
shindan maker,診断メーカー
gerbera,ガーベラ
wool,ウール
meteor,隕石
nijisanji matching outfit,共通衣装
horrified,恐ろしい
spoken emoji,話された絵文字
diamond mouth,菱形嘴
weight,重さ
hanafuda,花札
gacha (game mechanic),ガチャ
see-through hair,半透明の髪
mousepad (object),鼠标垫
hane (hanetsuki),ハーン（漢tuki）
aqua cape,アクアケープ
super highleg,スーパーハイレグ
holding drawing,描画を保持します
slytherin,スリザリン
red sarong,レッド・サロン
mami mogu mogu,マミる
incense,香
print hairband,ヘアバンドを印刷します
dj,打碟
coughing,咳
cassette tape,カセットテープ
white horse,白馬
sail,帆
traffic,こうつう
red bull,レッドブル
bell sleeves,ベルスリーブ
floating head,フローティングヘッド
headphones removed,ヘッドフォンが削除されました
minimap,ミニマップ
rainbow bikini,レインボービキニ
guitar strap,ギターストラップ
long-tailed tit,エナガ
stirring,混ぜる
wet floor,ぬれた床
side-tie dress,サイドタイのドレス
yen sign,えんきごう
hylian shield,ハイリアの盾
digital thermometer,デジタル温度計
weasel,イタチ
nigirizushi,握り寿司
arm pillow,腕の枕
abyssal ship transformation,深海棲艦化
brushing own hair,自分の髪をブラッシングします
spiked gloves,スパイクグローブ
glove pull,グローブプル
saxophone,サクソフォン
ink wash painting,水墨畫
clam,ハマグリ
game boy (original),初代ゲームボーイ
flesh,肉スライム
baseball stadium,やきゅうじょう
impossible sweater,不可能なセーター
collar jewel,寶石衣領
snowboard,スノーボード
yellow lips,黄嘴唇
boyshort panties,ボーイレッグ
asymmetrical armor,非対称鎧
naked robe,裸ローブ
extra penises,额外阴茎
sweater guard,カーディガンクリップ
stomping viewer,踏みつけ
vomit,嘔吐
turning around,振り向きます
sunken cheeks,沈んだ頬
ginkgo tree,イチョウ
lobster,えび
hot air balloon,熱気球
pastry box,ペストリーボックス
diagram,図面
cassette player,カセットプレーヤー
pinup (style),ピンナップ
penetration gesture,挿入ジェスチャー
at gunpoint,銃口で
ffd threesome,女女双3P
milking handjob,乳搾り手コキ
double chin,二重アゴ
begging,お願い
open pajamas,パジャマを開きます
grease (mechanical),グリス
holding bone,骨を保持します
nerv logo,ネルフ
on toilet,トイレで
depth charge,爆雷
lemon print,レモンプリント
crescent rose,クレセント・ローズ
spraying,スプレー
chao (sonic),チャオ(ソニックシリーズ)
bkub (style),フミンバイン
mushroom on head,頭のマッシュルーム
shish kebab,シシカバブ
heart-shaped bag,ハート型のバッグ
love hotel,ラブホテル
suneate,臑当
numbers (nanoha),ナンバーズ(リリカルなのは)
target,的
standing missionary,対面立位
computer tower,电脑主机箱
striped tank top,ストライプのタンクトップ
cargo shorts,カーゴショーツ
coffee maker,コーヒーメーカー
so moe i'm gonna die!,萌え死ぬ
starfighter,宇宙戦闘機
diploma,卒業証書
onahole handjob,オナホコキ
paint tube,ペイントチューブ
bouncing penis,ペニ分身
unworn crown,クラウンが削除されました
markings,マーキング
catfight,キャットファイト
pokemon tail,ポケモンテール
a (phrase),フレーズ）
heavy machine gun,重機関銃
ofuda on pussy,猫にofuda
pov legs,POVの足
heavenly boat maanna,天舟マアンナ
onahole job,オナホコキ
red tunic,赤いチュニック
pinky ring,ピンキーリング
pointing to the side,横を指しています
purple tunic,紫色のチュニック
v4x,V4x
incoming drink,入ってくる飲み物
fur-trimmed choker,毛皮のトリミングされたチョーカー
millennium puzzle,千年パズル
penguin tail,ペンギンの尾
skinny dipping,全裸水泳
medicine,薬
bikini around one leg,片足ビキニ
bad leg,悪い脚
implied pantyshot,暗黙のパンティショット
lonely,寂しい
kataginu,肩衣
s.e.e.s,特別課外活動部
dead animal,死んだ動物
ass hair,お尻の髪
strong zero,ストロングゼロ
sugimori ken (style),野生の杉森
strawberry parfait,ストロベリーパフェ
sliding,滑る
holding paper airplane,紙飛行機を保持します
trolling,トローリング
sailboat,ほぶね
aqua belt,アクアベルト
hand on own wrist,自分の手首に手をかけます
tako-san wiener,タコさんウインナー
foot pussy,足穴
breast cutouts,奶窗
jack-o'-lantern hair ornament,Jack-O'-Lantern Hair Ornament
rose bush,バラの茂み
triple baka (group),とりぷるばか
brown hakama,ブラウンハカマ
multicolored shorts,多色のショートパンツ
bike jersey,サイクルジャージ
gelatin,ゼラチン
googly eyes,ぐるぐる動く黒目
hot chocolate,ココア
turkey (food),しちめんちょう
x-ray vision,透視
swimsuit skirt,泳装裙
breast awe,胸がwe敬の念
cannibalism,共食い
string of light bulbs,電球のストリング
full mouth,完全な口
crescent halo,新月光环
kidnapped,誘拐
green butterfly,緑の蝶
imminent gangbang,差し迫った輪姦
elemental (creature),精霊
canal,運河
chenqing flute,陈情
youtube logo,YouTubeロゴ
nunchaku,ヌンチャク
spiked penis,スパイクされたペニス
hasu no daisankaku,蓮ノ大三角
year of the rooster,酉年
christmas sweater,クリスマスセーター
garnish,ガーニッシュ
purple pajamas,紫色のパジャマ
wrestling mask,覆面レスラー
holding ring,リングを持っています
cattail,ガマ(植物)
glowing petals,輝く花びら
radar,レーダー
rape face,强奸颜
hidden face,隠された顔
skull belt,頭蓋骨ベルト
loose thighhigh,ゆるい太い
matchstick,マッチ棒
baby carry,横抱き
payphone,公衆電話
clumsy,ドジっ子
neco spirit,ネコ精霊
outer glow,光彩（外側
onigiri print,onigiriプリント
seishou elementary school uniform,Seishou小学校の制服
sports festival,運動会
resting,休息
flower eyepatch,花の眼科
embroidered bra,刺繍ブラジャー
cum on armpits,腋下精液
water slide,ウォータースライダー
smock,スモック
crocodile,クロコダイル
tailcoat playboy bunny,燕尾バニー
scarf bow,スカーフの弓
pinky swear,指切り
boyfriend's shirt,彼シャツ
tsuba (guard),鐔
tyrannosaurus rex,ティラノサウルス
jikkyou powerful pro yakyuu (style),パワ体
orange lips,橙色嘴唇
cowl,カウル
peeking through fingers,指を覗く
angel's 24 uniform (blue archive),エンジェル24(ブルーアーカイブ)
hands on own knee,膝の上
body pillow,ボディピロー
sleeping bag,スリーピングバッグ
kobeya uniform,神戸屋
washbowl,洗面器
band shirt,バンドシャツ
bone print,骨プリント
hemokinesis,ヘモキネシス
fujoshi,腐女子
jewel butt plug,ジュエリーアナルプラグ
emaciated,痩せ
holding gourd,ひょうたんを保持します
dou,胴
ofuda on nipples,符纸乳贴
pinecone,松ぼっくり
panda girl,パンダ娘
precum string,先走汁拉丝
pc-98 (style),PC-98（スタイル）
fur-trimmed robe,毛皮のトリミングされたローブ
yabi fashion,亚逼
socks over pantyhose,パンストの靴下
fish hook,釣り針
cut-in,カットイン
aqua-framed eyewear,アクアフレームアイウェア
see-through pelvic curtain,透视前摆
navel focus,おへそ強調
peeling,皮剥き
thigh straddling,膝コキ
white sweater vest,白いセーターベスト
military coat,ミリタリーコート
core,コア
grabbing another's tongue,舌引っ張り
one arm handstand,片手逆立ち
side-tie shirt,サイドタイシャツ
plaid socks,格子縞の靴下
ipod nano,iPod Nano
byakugan,白眼
longcat (meme),のびーるたん
torso flash,胴体フラッシュ
ant,アリ
anachronism,じだいさくご
virgin,処女
morning glory print,朝の栄光のプリント
daffodil,スイセン
holding rocket launcher,ロケットランチャーを保持します
stapler,ホッチキス
weight gain,男の肥満化
kneeless merfolk,膝のない人魚
chastity belt,バイブ貞操帯
mons pubis,恥丘
holding cooking pot,調理鍋を持っています
rivalry,競争
kung fu,功夫
angelfish,エンゼルフィッシュ
sports utility vehicle,越野车
stuffed whale,ぬいぐるみ
ikayaki,イカ焼き
glitter dress,闪亮连衣裙
living hair,生きている髪
evil eyes,邪悪な目
subway,地下鉄
yellow blood,黄色の血
bikini tug,ビキニタグ
pink overalls,ピンクのオーバーオール
flight suit,フライトスーツ
bimbofication,ギャル化
star trail,スタートレイル
imminent bite,差し迫った一口
imperial japanese navy,日本海軍
virtual reality,VRヘッドセット
ok sign over eye,目で署名します
traffic mirror,カーブミラー
u.n. spacy,地球統合軍
petrification,固め
taiko drum,太鼓
flail,フレイル
stopwatch around neck,首の周りのストップウォッチ
caterpillar,芋虫
choshanland plushy (arknights),朝陇山
food between breasts,乳挟み
knitting,編み物
barding,バーディング
bident,バイデント
scissorhold,太もも絞め
hololive dance practice uniform,ホロライブダンス練習着
