hatsune miku,初音ミク
fai d. flowright,ファイ・D・フローライト
yahna (unicorn overlord),ヤーナ
fujimaru ritsuka (female) (normal chaldea uniform),ノーマル・カルデア制服
ana (warioware),カット&アナ
trowa barton,トロワ・バートン
the prince (katamari damacy),王子（カタマリダマシー）
aerith gainsborough (fairy of snowfall),雪の精のドレス
basch fon ronsenburg,バッシュ・フォン・ローゼンバーグ
morridow (girls' frontline),モリドー(ドールズフロントライン)
eld jinn,エルドジン
timmy (animal crossing),まめきち
shiranui (autumn) (kancolle),不知火(秋)
pecorine (new year) (princess connect!),ペコリーヌ(ニューイヤー)
kobayashi kenya,ケンヤ
makibi kiyone,真備清音
dolliv,オリーニョ
tsukiyama shuu,月山習
yozakura tama,夜桜たま
igarashi sayaka,五十嵐清華
kearsarge (springtime monitoring) (azur lane),スプリング・モニタリング
spike (my little pony),スパイク
van hohenheim,ヴァン・ホーエンハイム
shade (futagohime),シェイド
salde canarl shellbrick iii,サアルデ・カナール・シェルブリックIII世
ryu (breath of fire iv),ryuu（火の呼吸IV）
kirin (monster hunter),キリン(モンスターハンター)
iki hiyori,壱岐ひより
mizuno midori,水野翠
yuni (yuni channel),ゆにアート
brynhild (swimsuit berserker) (first ascension) (fate),ブリュンヒルデ(水着)
the chicken that appears in the middle of cookie,クッキー☆の中盤あたりに出てくるニワトリ
black wyrm (last origin),ブラックワームS9
raiden mei (crimson impulse),雷電芽衣(雷脈装・緋紅)
ryuuto (vocaloid),リュウト
melleau,メルゥ
vestal (azur lane),ヴェスタル(アズールレーン)
coalossal,セキタンザン
lilith (ayanami rei),リリス綾波
lens (arknights),レンズ（arknights）
georgia (pokemon),ラングレー
minazuki haruka (twin angel),レッドエンジェル
aihara nana,相原菜々
galatea (fate),ガラテア(Fate)
nikaido yuzu,二階堂ゆず
watanabe ayasa (jack dempa),渡辺彩紗
bonnouji momoha,盆能寺百八
tendouji musubi,天堂寺ムスビ
lua asuka,飛鳥瑠藍
saguaro (pokemon),サワロ
elisanne,エルフィリス
utsumi erice (mission start),ミッション・スタート
sarya (granblue fantasy),サーヤ
tachanka (rainbow six siege),タチャンカ(R6S)
hamazaki reina,浜崎レイナ
himekuma ribon,姫熊りぼん
kagamine len (vocaloid4),鏡音レンV4X
hoshizuki kaede,星月楓
rikimatsu ariko,有古力松
northern little sister,北方棲妹
bahamut (nikke),バハムート(勝利の女神:NIKKE)
haley (stardew valley),ヘイリー(StardewValley)
kriem,クリーム
amy (madoka magica),エイミー（マドカマジカ）
kongou iroha,金剛いろは
fladramon,フレイドラモン
mamahaha,ママハハ
erika (shadowverse),エリカ(シャドウバース)
harpie girl (yu-gi-oh!),ハーピィ・ガール
scarle yonaguni (1st costume),スカーレ・ヨナグニ(通常)
rolycoly,タンドン
helly lewis,ヘリー・ルイス
date kanta,伊達漢太
lich (monster girl encyclopedia),リッチ(魔物娘図鑑)
mandragora (final fantasy),マンドラゴラ（ファイナルファンタジー）
kamio haruko,神尾晴子
prince of wales (sun shining upon windsor) (azur lane),ウィンザー・サン
delta (nikke),デルタ(勝利の女神:NIKKE)
mesmer jr.,小梅斯梅尔
midarezaki kyouka,キョウキァ=エアエリアエア
soletta orihime,ソレッタ・織姫
harumi kajika,晴海カジカ
lisa hamilton,リサ・ハミルトン
namuna (7th dragon),ナムナ
renga (yakihebi),Renga（Yakihebi）
rakkun sutaru,ラックン
mileina vashti,ミレイナ・ヴァスティ
shiina mafuyu,椎名真冬
vivian (mvv),ヴィヴィアン(M.vv)
hyodou shizuku,兵藤雫
typhon epsilon (fate),イプシロン(Fate)
isonade orca,磯撫おるか
kouzuki anna,神月アンナ
titan (generic) (shingeki no kyojin),无垢巨人
mervamon,メルヴァモン
mukou aoi (totono),向日アオイ
anelace elfead,アネラス・エルフィード
grand master (elsword),グランドマスター
sash lilac,塞西.里拉克
bucky (chainsaw man),鶏の悪魔
yuzuki yukari's younger twin brother,結月ゆかりの双子の弟
dark nebula,ダークゼロ
marl (shironeko project),ラッキーを届ける天使マール
cyan (among us),シアン（私たちの間）
garnet mclane,ガーネット・マクレーン
ukusik (arknights),ウクシク(アークナイツ)
red sonja,レッドソンジャ
shinbashi (ooe),新橋
legolas,レゴラス
genau (sousou no frieren),ゲナウ
anemachi,姉街
lyna (yu-gi-oh!),Lyna（Yu-gi-oh！）
my sweet piano,マイスウィートピア
tomoe gozen (traveling outfit) (fate),英霊旅装
akira (miria) (blue archive),ミリア(ブルーアーカイブ)
eta (kagejitsu),イータ(陰の実力者になりたくて!)
yosafire (funamusea),ヨザファイア
thorton (pokemon),ネジキ
samira (league),サミラ
houshou kai ni (kancolle),鳳翔改二
kieran (fire emblem),ケビン(蒼炎の軌跡)
uesugi kenshin (first ascension) (fate),上杉謙信(Fate)
iron hands (pokemon),テツノカイナ
hunter (the owl house),ハンター(アウルハウス)
gatling pea (plants vs. zombies),超级机枪豌豆
jabra (one piece),ジャブラ
catapult (arknights),カタパルト(アークナイツ)
amamiya kokoro (7th costume),天宮こころ(水着)
fukami nana (awono nanaumi),深海ナナ
flammi (atelier),フラミィ
rock miku (project voltage),いわミク
sakuragi chisa,櫻木ちさ
dola (1st costume) (nijisanji),ドーラ(通常)
normal miku (project voltage),ノーマルミク
sato rikido,砂藤力道
yajima gakuro,夜島学郎
hidaka subaru,日高昴
vigoroth,ヤルキモノ
krieg (skullgirls),Krieg（Skullgirls）
murakumo kagetsu (1st costume),叢雲カゲツ(通常)
nase mitsuki,名瀬美月
shin'you (maid) (kancolle),神鷹(メイド)
demiurge (overlord),デミウルゴス(オーバーロード)
mortarion,モータリオン
feng xin,风信
long (chainsaw man),ロン
turn x,ターンX
beeswax (weisser sand) (arknights),蜜蝋（ワイザーサンド）（arknights）
youtou hime (onmyoji),妖刀姬
yamato nadeshiko (street fighter),大和・ナデシコ
nui sociere (6th costume),ニュイ・ソシエール(白魔導士)
garrod ran,ガロード・ラン
furusawa yoriko,古澤頼子
so nagi,ソ・ナギ
kofune mio,小舟澪
junker queen (overwatch),ジャンカークイーン
bache (showy sports star) (azur lane),絢爛なるスポーツスター
skye (hcnone),スカイ（hcnone）
harlock,ハーロック
philia felice,フィリア・フィリス
tsumugi (halloween) (princess connect!),ツムギ(ハロウィン)
ukitake juushirou,浮竹十四郎
iron jugulis,テツノコウベ
manah,マナ
tsugihagi (chainsaw man),ツギハギ
gueira,ゲーラ
jane t. godfrey,ジェーンt。ゴッドフリー
passimian,ナゲツケサル
lanmewko,Rumiちゃん絵
inui toko (western maid),戌亥とこ(メイド服洋風)
jeht (genshin impact),ジェイド(原神)
itou hikari,伊藤光(私モテ)
miyazawa yukine,宮沢有紀寧
ai-chan (precure),アイちゃん
alice elliot,アリス・エリオット
lycoris fubuki,深海吹雪
argos (ff14),アルゴス
yori (princess connect!),風宮より
scharnhorst (azur lane),シャルンホルスト(アズールレーン)
nishikiyama akira,錦山彰
alolan muk,アローラベトベトン
uchida yuka,内田ユカ
elly (tonari no kyuuketsuki-san),エリー
maria (space maria),マリア（宇宙マリア）
jinno hikari,神野ひかり
yagi yui,八木唯
hygogg,ハイゴッグ
laetitia (project moon),レティシア
android 16,人造人間16号
mana (yu-gi-oh!),マナ(遊戯王)
mutou hana,夢塔ハナ
kanemoto hisako,金元寿子
momioka risa,籾岡里紗
ernesto de la cruz,エルネスト・デラクルス
sessyoin kiara (beast iii/r),ビーストIII/R
combat medic ziegler,Combat Medic Ziegler
gouda toshirou,郷田俊朗
hobby (azur lane),ホビー
habanero-tan,ハバネロたん
sunao (wokada),Sunao（Wokada）
kudou jun,久藤准
merel (reverse:1999),梅蕾尔
type 97 (peony) (girls' frontline),タイプ97（ペオン）（女の子の最前線）
deathclaw,デスクロー
amano mishio,天野美汐
queen aldra,逢魔の女王アルドラ
hato kenjirou,波戸賢二郎
nagino mashiro,凪乃ましろ
kitahara mio,北原美桜
eye (okame nin),目（okame nin）
kagura mutsuki,カグラ=ムツキ
amistr (ragnarok online),amistr（ragnarok online）
shirouzu mairu,しろうずまいる
shioyama suzune,汐山涼音
gideon graves,ギデオン・グレイヴズ
yunohara izumi,柚原いづみ
beat (mega man),ビート(ロックマン)
moira (overwatch),モイラ（オーバーウォッチ）
rosamia badam,ロザミア・バダム
rosie sweetheart (infinity nikki),愛しいクールピンク
gradriel,グラドリエル
tingle,チンクル
kongou sensei,金剛先生
warfarin (casual vacation) (arknights),ワルファリン（カジュアルバケーション）（Arknights）
drawcia,ドロシア
mega audino,メガタブンネ
dreizehn (shadowverse),ドライツェーン
ichijou ruka,一条瑠夏
vados (dragon ball),ヴァドス
pedobear,ペドベアー
kagaya miki,カガヤミキ
mary (bay goddess) (nikke),メアリー:ベイゴッデス
jeanne d'arc alter (lancer) (fate),ランサー(Fate/SamuraiRemnant)
teramoto tomiko,寺本とみ子
kimahri ronso,キマリ=ロンゾ
leberblume,ルベルブルーメ
noir corne (arknights),ノイルホーン
siegbert (fire emblem),ジークベルト
senna (league),セナ
zodiac 4 (sekaiju),ゾディアック4（セカイジュ）
ginkaku (kemono friends),ギンカク(けものフレンズ)
xigbar,シグバール
nightmare apprentice,幻惑の見習い魔術師
cantabile (arknights),カンタービレ(アークナイツ)
kuramon,クラモン
imadake dabuchi tabesuke,いまだけダブチ食べ助
yuniiho (vtuber),ユニホ（vtuber）
umihara kawase (character),海腹川背
merlin (camelot & co) (fate),マーリン（Camelot＆Co）（運命）
tryndamere (league),Tryndamere
kotomine shirou (fanfic),言峰士郎
franklin (heart-throbbing records) (azur lane),看護師のトキメキカルテ
ooshima minori,大島三野里
cz2128 delta,シズ・デルタ
sync (tales),烈風のシンク
olivert reise arnor,オリビエ・レンハイム
trumbeak,ケララッパ
ice kirby,アイスカービィ
pantheon (mega man),パンテオンシリーズ
model a (mega man),モデルA
kid buu,魔人ブウ(純粋善)
faust (blue archive),ファウスト(ブルーアーカイブ)
parappa,パラッパ
jet the hawk,ジェット・ザ・ホーク
rui (kimetsu no yaiba),累(鬼滅の刃)
wannai kinuho,湾内絹保
takada nozomi,高田望美
teddy: decryptor (pgr),觅语
togemon,トゲモン
fred jones,フレッド・ジョーンズ
psycho gundam,サイコガンダム
eina tulle,エイナ・チュール
kuzuryuu yaichi,九頭竜八一
zelgius (fire emblem),ゼルギウス
moonlight cookie,ムーンライト魔術師クッキー
giffany,ギファニー
ankokuboshi kurome,暗黒星くろめ
thai girl (okpriko),タイの女の子（okpriko）
kashino (maid for mayhem) (azur lane),つまずきトラブルメイド
supreme king (yu-gi-oh! gx),覇王十代
marie (dies irae),マリィ(Diesirae)
fencer (sekaiju),フェンサー(世界樹)
kim soleum,金索伦
kalinka cossack (mega man),カリンカ
curse maker 1,白カスメ
mineru (zelda),ミネル(ティアーズオブザキングダム)
houou karin,鳳凰火凛
himiko (third ascension) (fate),ヒミコ（3回目の昇天）（運命）
sasaki maguro,ささきまぐろ
sangou shizuku,三郷雫
bombirdier,オトシドリ
klawf,ガケガニ
gu yuena,古月娜
universal bulin (azur lane),汎用型ブリ
traveler (journey),旅ビト
tombo (majo no takkyuubin),トンボ(魔女の宅急便)
harusaki nodoka (1st costume),春先のどか(通常)
gryphon (ragnarok online),グリフォン
retory (forestia),レトリー
intruder (girls' frontline),イントゥルーダー(ドールズフロントライン)
eitri (fire emblem),エイトリ
saito yoko,斉藤洋子
dagger (fiz-rot),ダガー（フィズロタート）
hasegawa fumi,長谷川ふみ
archer alter (fate),アーチャー・アルター（運命）
katya klein,カーシア・クライン
mr. rime,バリコオル
ginzaki shouma,銀崎晶馬
sasaki saku (6th costume),笹木咲(制服)
mikoto (ff9),ミコト
tione hyryute,ティオネ・ヒリュテ
luluna von bettelheim,ルルナ=ヴォン=ベッテルハイム
triton (housamo),トリトン
fate testarossa (lightning form) (2nd),ライトニングフォーム
grimnir (granblue fantasy),グリームニル
lee ji-eun,伊藤智美(ずっとも!)
louis (fire emblem),ルイ(ファイアーエムブレム)
type 4 (girls' frontline),4式(ドールズフロントライン)
zarude,ザルード
sl8 (girls' frontline),SL8(ドールズフロントライン)
kurahashi riko,倉橋莉子
schneizel el britannia,シュナイゼル・エル・ブリタニア
filia ul copt,フィリア=ウル=コプト
hibiki (azur lane),響(アズールレーン)
irida (special costume) (pokemon),カイ(スペシャル)
sakura (ukagaka),(初代)さくら
akira (orenchi no maidosan),アキラ（オレンチはマイドサンなし）
ping myu ring (tandohark),ping myuリング（Tandohark）
suitokuin tenmu,10月6日は天夢ちゃんの日
gabimaru,画眉丸
nishidate haku,西館ハク
yurin leciel,ユリン・ルシェル
ozaki reiko,尾崎玲子
ouroboros (granblue fantasy),ウロボロス（グランブルーファンタジー）
rosetta passel,ロゼッタ・パッセル
adele (fate),アデーレ(Fate)
xiaoyuan (you can eat the girl),マドカ(食用系少女)
aster (granblue fantasy),アステール
cinque izumi,シンク・イズミ
valkenhayn r. hellsing,ヴァルケンハイン=R=ヘルシング
