original,オリジナル
captain america: the winter soldier,キャプテン・アメリカ/ウィンター・ソルジャー
houkago play,放課後プレイ
tsuma shibori,妻しぼり
sora yori mo tooi basho,宇宙よりも遠い場所
kore ga watashi no goshujin-sama,これが私の御主人様
anyamal tantei kirumin zoo,あにゃまる探偵
all saints street,万圣街
winnie the pooh,くまのプーさん
kirby air riders,カービィのエアライダー
rikai no aru karen-chan,理解のあるカレンちゃん
choujin x,超人X
little tail bronx,リトルテイルブロンクス
kagetsu tooya,歌月十夜
scryed,スクライド
bomberman,ボンバーマン
golden sun,黄金の太陽
phoenix wright: ace attorney,フェニックスライト：エース弁護士
wario land,ワリオランド
super no ura de yani suu futari,スーパーの裏でヤニ吸うふたり
monobeno,ものべの
no.6,未来都市no.6
idolmaster one for all,アイドルマスターワンフォーオール
ginga tetsudou 999,銀河鉄道999
camp buddy,キャンプバディ
kamen rider agito (series),仮面ライダーアギト
namco,ナムコ
xxxholic,xxxholic
steampunk (liarsoft),スチームパンクシリーズ
kin-iro loveriche,金色ラブリッチェ
zone of the enders (series),エンダーのゾーン
kanagawa okinami ura,かながわおきなみうら
blood+,ブラッドプラス
paripi koumei,パリピ孔明
toki wo kakeru shoujo,時をかける少女
illustration.media,Illustration.Media
fire emblem gaiden,ファイアーエムブレム外伝
ice climber,アイスクライマー
tsubasa chronicle,ツバサ-RESERVoir_CHRoNiCLE-
paper mario: the origami king,ペーパーマリオオリガミキング
seeno de! hasu no sora!,せーので!はすのそら!
kanokon,かのこん
grisaia no meikyuu,グリザイアの迷宮
saint seiya omega,聖闘士星矢Ω
cinderella (fairy tale),シンデレラ
red velvet (group),レッドベルベット
persona 5 scramble: the phantom strikers,ペルソナ5スクランブル
beast wars,ビーストウォーズ
comiket 91,コミケ91
grand theft auto v,グランドセフトオート5
shadowverse (animated series),アニシャド
battle angel alita,銃夢
comic lo,コミックロー
ganbare goemon,がんばれゴエモン
yu-gi-oh! the dark side of dimensions,yu-gi-oh！寸法の暗い側面
comic party,こみっくパーティー
code geass: boukoku no akito,コードギアス亡国のアキト
seitokai yakuindomo,生徒会役員共
hyakko,ヒャッコ
tenco's story,天子の旅
madan no ichi,魔男のイチ
kirby: planet robobot,ロボボプラネット
atelier ayesha,アーシャのアトリエ
bionicle,バイオニクル
hello charlotte,你好夏洛特
mono (afro),mono(あfろ)
hua yi shanxin zhiyue,花亦山心之月
uchuu no stellvia,宇宙のステルヴィア
valkyrie no densetsu,ワルキューレの伝説
higanbana no saku yoru ni,彼岸花の咲く夜に
ico,イコ
shinkyoku soukai polyphonica,神曲奏界ポリフォニカ
lonely girl ni sakaraenai,ロンリーガールに逆らえない
makai tenshi djibril,魔界天使ジブリール
bakumatsu rouman,月華の剣士
fruits basket,フルーツバスケット
shantae: half-genie hero,ハーフ・ジーニーヒーロー
happy sugar life,ハッピーシュガーライフ
grand summoners,グランドサマナーズ
ombok diving and delivery services,オンボックダイビングおよび配達サービス
shadow of the colossus,ワンダと巨像
xblaze code: embryo,Xblazeコード：胚
duolingo,デュオリンゴ
false memory,记忆管理局
ninin ga shinobuden,ニニンがシノブ伝
advance of zeta,アドバンス・オブ・Z
banana fish,バナナフィッシュ
pokemon heroes: latios & latias,水の都の護神
mahou shoujo ikusei keikaku restart,魔法少女育成計画restart
sidonia no kishi,シドニアの騎士
virtuareal link,阿梓从小就很可爱
melon girls,メロンガールズ
falkyrie no monshou,ファルキューレの紋章
yumenokessho,夢ノ結唱
kaleido star,カレイドスター
runescape,runescape
city (arawi keiichi),CITY(あらゐけいいち)
downtown no gaki no tsukai ya arahende!!,ダウンタウンのガキの使いやあらへんで!!
sengoku taisen,戦国大戦TCG
vivid strike!,鮮やかなストライク！
readymade (ado),レディメイド
the bible,聖書
brave sword x blaze soul,ブレイブソード×ブレイズソウル
azure striker gunvolt 1,蒼き雷霆ガンヴォルト
justice league,ジャスティスリーグ
five nights at freddy's: security breach,セキュリティ侵害
overman king gainer,オーバーマンキングゲイナー
sentai red isekai de boukensha ni naru,戦隊レッド異世界で冒険者になる
saihate (vocaloid),サイハテ
motto! haramase! honoo no oppai isekai oppai bunny gakuen!,もっと!孕ませ!炎のおっぱい異世界おっぱいバニー学園!
battlefield (series),バトルフィールド
kaiten muten-maru,回転むてん丸
idolmaster starlit season,アイドルマスタースターリットシーズン
digimon adventure tri.,デジモンアドベンチャーtri.
shadow hearts,シャドウハーツ
uchuu patrol luluco,宇宙パトロールルル子
tomodachi life: living the dream,トモダチコレクションわくわく生活
ochikobore fruit tart,おちこぼれフルーツタルト
strike witches: katayoku no majo-tachi,ストライクウィッチーズ片翼の魔女たち
trickster (ntreev soft),トリックスター
atelier firis,フィリスのアトリエ
saiki kusuo no psi nan,斉木楠雄のΨ難
shiritsu justice gakuen,私立ジャスティス学園
slow loop,スローループ
brawl stars,ブロスタ
rabi-ribi,ラビリビ
kimi ga shinu made koi wo shitai,きみが死ぬまで恋をしたい
noa-senpai wa tomodachi.,のあ先輩はともだち。
nanatsuiro drops,ななついろ★ドロップス
mabinogi heroes,マビノギ英雄伝
donkey kong country,スーパードンキーコング
trusty bell,トラスティベル
bishoujo senshi sailor moon crystal,美少女戦士セーラームーンクリスタル
stalker (game),ストーカー（ゲーム）
pokemon red/green/blue/yellow (prototype),ポケモンRGBY（プロトタイプ）
hopeless masquerade,東方心綺楼
jujutsu kaisen modulo,呪術モジュロ
irotoridori no sekai,いろとりどりのセカイ
nukigee mitai na shima ni sunderu watashi wa dou surya ii desu ka?,抜きゲーみたいな島に住んでる貧乳はどうすりゃいいですか?
sentimental graffiti,センチメンタルグラフティ
power rangers,パワーレンジャー
war thunder,ウォーサンダー
strider (game),ストライダー飛竜
super mario 64,スーパーマリオ64
shining wind,シャイニング・ウィンド
comic anthurium,コミックアンスリウム
shoujo to ura roji,少女と裏路地
umayuru,うまゆる
rumble roses,ランブルローズ
marvel vs. capcom 3,マブカプ3
gensou suikoden iii,幻想水滸伝iii
atelier lydie & suelle,リディー&スールのアトリエ
mahou senshi elixir knights,魔法戦士エリクシルナイツ
manaria friends,マナリアフレンズ
princess lover,プリンセスラバー
asobi ni iku yo!,あそびにいくヨ!
kamichu!,かみちゅ!
wonder egg priority,ワンダーエッグ・プライオリティ
haite kudasai takamine-san,履いてください、鷹峰さん
mona lisa,モナリザ
kiddy grade,キディ・グレイド
danganronpa s: ultimate summer camp,ハッピーダンガンロンパS
the distortion detective,ねじれ探偵
star wars: return of the jedi,ジェダイの帰還
soukou senki prism reica,装甲戦姫プリズムレイカー
seikimatsu occult gakuin,世紀末オカルト学院
super danganronpa another 2,スーパーダンガンロンパアナザー2
re:zero kara hajimeru isekai seikatsu: lost in memories,リゼロス
river city girls,リバーシティガールズ
liz to rose no koubou ~shakkin shimai no koubou nisshi~,借金姉妹の工房日誌
the legend of zelda (nes),初代ゼルダの伝説
fire emblem warriors,ファイアーエムブレム無双
comiket 88,コミケ88
kampfer,けんぷファー
masamune-kun no revenge,政宗くんのリベンジ
gundam narrative,機動戦士ガンダムNT
portal 1,ポータル1
taboo japan disentanglement,たなばたざかむげんのう
cyberpunk: edgerunners 2,サイバーパンク:エッジランナーズ2
left 4 dead,レフト フォー デッド
portrait of exotic girls,蓬莱少女繪幻想
mobile suit gundam the origin,機動戦士ガンダムTHEORIGIN
specialite (company),すぺしゃりて
comiket 92,コミケ92
monster high,モンスター・ハイ
cream lemon,くりいむレモン
it (stephen king),イット
parasite eve (series),パラサイトイヴ
ano ko wa toshi densetsu,あの娘は都市伝説。
yuragisou no yuuna-san,ゆらぎ荘の幽奈さん
gaki kyonyuu,ガキ巨乳
moyashimon,もやしもん
jigoku sensei nube,地獄先生ぬ〜べ〜
city hunter,シティーハンター
lost universe,ロストユニバース
danganronpa kirigiri,ダンガンロンパ霧切
wonder festival,ワンダーフェスティバル
twice (group),2回（グループ）
japanese mythology,日本の神話学
wcdonald's,ワクドナルド
nazo no kanojo x,謎の彼女X
jewelpet twinkle,ジュエルペットてぃんくる☆
goho mafia! kajita-kun,GOHOマフィア!梶田くん
one piece: strong world,ワンピース：強い世界
eshi 100 nin ten,絵師100人展
gakuen utopia manabi straight!,がくえんゆーとぴあまなびストレート!
jinki,ジンキ
game & watch,ゲーム&ウオッチ
saber marionette j,セイバーマリオネットJ
detective pikachu (series),名探偵ピカチュウ
macross frontier: itsuwari no utahime,イツワリノウタヒメ
ayakashi triangle,あやかしトライアングル
youkai watch 2,妖怪ウォッチ2
mahou shoujo no inshuu mura,魔法少女ノ因習村
digimon world re:digitize,デジモンワールド
harem futago lolita,ハーレム双子ロリータ
witch craft works,ウィッチクラフトワークス
the evil within,サイコブレイク
slow damage,スロウ・ダメージ
kochikame,こち亀
tales of hearts,テイルズ・オブ・ハーツ
sword art online the movie: ordinal scale,オーディナル・スケール
kono subarashii sekai ni bakuen wo!,この素晴らしい世界に爆焔を!
crawling dreams,rawう夢
alien (1979),エイリアン
fromsoftware,フロムソフトウェア
vanguard princess,ヴァンガードプリンセス
dungeon travelers 2,ダンジョントラベラーズ2
hogwarts legacy,ホグワーツ・レガシー
metal gear solid 2: sons of liberty,メタルギアソリッド2
castlevania: symphony of the night,悪魔城ドラキュラX月下の夜想曲
taimanin murasaki,対魔忍ムラサキ
tokimeki memorial girl's side 3rd story,ときめきメモリアルgs3
blue reflection maboroshi ni mau shoujo no ken,ブルーリフレクション
ao no roku-gou,青の6号
2ch.ru,ドゥヴァチ
the saga of darren shan,ダレン・シャン
reflect (gawr gura),反射（ガウグラ）
bible black,バイブルブラック
fireball (series),ファイアボールチャーミング
honest axe,金の斧
no more heroes,ノーモア★ヒーローズ
super mario sunshine,スーパーマリオサンシャイン
expo2025,大阪・関西万博
kobeya,神戸屋レストラン
honoo no haramase tenkousei,炎の孕ませ転校生
photokano,フォトカノ
akatsuki records,暁Records
assassin's creed ii,アサクリ2
ga geijutsuka art design class,GA芸術科アートデザインクラス
shin sangoku musou 6,真・三國無双6
hatsune miku expo,HATSUNE MIKU EXPO
astral party,アストラルパーティー
kemono jihen,怪物事変
who framed roger rabbit,ロジャー・ラビット
lies of p,偽りのP
wild and horned hermit,東方茨歌仙
macross frontier: sayonara no tsubasa,サヨナラノツバサ
sazae-san,サザエさん
dragon's dogma,ドラゴンズドグマ
phantasy star portable 2,ファンタシースターポータブル2
idolmaster movie,輝きの向こう側へ!
taimashi ayano,退魔師綾乃
strike witches: aurora no majo,ストライクウィッチーズ
